                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  0.516,                0.40343,                0.99545,                0.92517,                0.92186,                0.95543,                0.80004,                0.70158,                0.43115,                 1.0993,               0.003862,               0.003862,               0.003862
                     65,                0.51198,                0.39468,                0.99567,                0.93076,                0.91586,                0.95417,                0.79721,                0.70189,                0.42977,                 1.1013,               0.003763,               0.003763,               0.003763
                     66,                0.50665,                0.38834,                0.99283,                0.93122,                0.91914,                0.95484,                0.79936,                0.69873,                0.42425,                    1.1,               0.003664,               0.003664,               0.003664
                     67,                0.50867,                0.39012,                0.99523,                0.92033,                 0.9236,                0.95382,                 0.7989,                0.69472,                0.42745,                 1.0973,               0.003565,               0.003565,               0.003565
                     68,                0.49878,                0.38771,                0.99102,                0.92509,                0.92263,                0.95532,                0.80232,                0.69045,                0.42924,                 1.0938,               0.003466,               0.003466,               0.003466
                     69,                 0.4935,                0.37545,                0.98623,                0.93703,                0.90988,                0.95528,                 0.8019,                0.69141,                0.42851,                 1.0952,               0.003367,               0.003367,               0.003367
                     70,                0.49214,                0.36841,                0.98679,                0.94148,                0.90575,                0.95433,                0.80251,                0.68903,                0.42929,                 1.0939,               0.003268,               0.003268,               0.003268
                     71,                0.48961,                0.36703,                0.98404,                0.92976,                0.91744,                0.95443,                0.80279,                0.68671,                0.42634,                 1.0926,               0.003169,               0.003169,               0.003169
                     72,                0.48372,                0.36541,                 0.9822,                 0.9345,                0.91317,                0.95326,                 0.8022,                0.68418,                0.42881,                 1.0912,                0.00307,                0.00307,                0.00307
                     73,                0.48117,                0.36176,                0.97976,                0.94201,                 0.9097,                0.95331,                0.80293,                0.68183,                0.43004,                 1.0909,               0.002971,               0.002971,               0.002971
                     74,                0.47666,                 0.3564,                0.97935,                0.93682,                 0.9146,                0.95387,                0.80349,                0.68089,                0.43058,                 1.0919,               0.002872,               0.002872,               0.002872
                     75,                0.47173,                0.35193,                0.97624,                0.93578,                0.91546,                0.95339,                0.80427,                0.68002,                0.43215,                 1.0915,               0.002773,               0.002773,               0.002773
                     76,                0.46919,                0.35054,                0.97487,                0.93854,                0.90975,                0.95319,                0.80575,                0.67841,                0.42958,                 1.0904,               0.002674,               0.002674,               0.002674
                     77,                0.46807,                  0.345,                0.97419,                0.92874,                0.91882,                0.95321,                0.80569,                0.67797,                0.42817,                 1.0905,               0.002575,               0.002575,               0.002575
                     78,                0.46584,                 0.3451,                0.97631,                0.92314,                0.92489,                 0.9532,                0.80635,                0.67672,                0.42482,                 1.0897,               0.002476,               0.002476,               0.002476
                     79,                0.45653,                0.33535,                 0.9717,                0.92629,                0.92316,                0.95359,                0.80758,                0.67699,                0.42439,                 1.0907,               0.002377,               0.002377,               0.002377
                     80,                0.45591,                 0.3334,                0.96837,                0.92494,                0.92015,                0.95322,                0.80736,                  0.677,                0.42488,                 1.0913,               0.002278,               0.002278,               0.002278
                     81,                0.44979,                0.33066,                0.96848,                0.92627,                0.92071,                0.95336,                 0.8083,                 0.6769,                0.42577,                 1.0916,               0.002179,               0.002179,               0.002179
                     82,                0.44911,                0.32513,                0.96387,                 0.9252,                0.92163,                0.95334,                0.80706,                0.67526,                0.42335,                 1.0909,                0.00208,                0.00208,                0.00208
                     83,                0.44025,                0.31838,                0.96442,                0.92345,                0.92458,                0.95312,                0.80874,                0.67439,                 0.4197,                  1.091,               0.001981,               0.001981,               0.001981
                     84,                0.44064,                0.31563,                 0.9618,                0.92106,                 0.9275,                 0.9533,                0.80868,                0.67365,                0.41846,                 1.0916,               0.001882,               0.001882,               0.001882
                     85,                0.43472,                0.31527,                0.95967,                0.91935,                0.92932,                0.95288,                0.80865,                0.67297,                0.41846,                 1.0922,               0.001783,               0.001783,               0.001783
                     86,                0.42911,                0.30935,                 0.9574,                0.92235,                0.93051,                0.95296,                0.80881,                0.67273,                0.41893,                 1.0931,               0.001684,               0.001684,               0.001684
                     87,                0.42616,                0.31031,                0.95765,                0.92397,                0.92939,                0.95317,                0.80977,                0.67167,                0.41935,                 1.0933,               0.001585,               0.001585,               0.001585
                     88,                0.42506,                0.30235,                0.95441,                0.92328,                0.92937,                0.95315,                0.80955,                0.67061,                0.41976,                 1.0935,               0.001486,               0.001486,               0.001486
                     89,                0.41783,                0.29741,                0.95269,                0.93755,                0.91831,                0.95335,                 0.8096,                0.67053,                0.41957,                 1.0937,               0.001387,               0.001387,               0.001387
                     90,                0.41526,                0.29703,                0.95322,                 0.9245,                0.92947,                0.95306,                0.80948,                0.66999,                0.41885,                 1.0938,               0.001288,               0.001288,               0.001288
                     91,                0.31267,                 0.1602,                 0.8882,                 0.9251,                0.92978,                0.95287,                0.80905,                0.66938,                0.41919,                 1.0939,               0.001189,               0.001189,               0.001189
                     92,                0.30253,                0.15548,                0.88164,                0.92563,                0.93173,                0.95315,                0.80978,                0.66837,                0.41797,                 1.0935,                0.00109,                0.00109,                0.00109
                     93,                0.29636,                0.15174,                0.87909,                0.93759,                0.91901,                0.95286,                0.80995,                0.66719,                0.41729,                 1.0929,               0.000991,               0.000991,               0.000991
                     94,                0.28969,                0.14958,                0.87712,                0.93835,                0.91924,                0.95276,                0.81089,                0.66511,                0.41831,                 1.0916,               0.000892,               0.000892,               0.000892
                     95,                0.28539,                0.14607,                0.87259,                0.93956,                0.91865,                0.95305,                0.81172,                0.66439,                0.41759,                 1.0914,               0.000793,               0.000793,               0.000793
                     96,                0.28032,                0.14219,                0.87081,                 0.9404,                0.91842,                0.95346,                0.81264,                0.66318,                0.41697,                 1.0908,               0.000694,               0.000694,               0.000694
                     97,                0.27623,                 0.1401,                0.86878,                0.94026,                0.91883,                0.95319,                0.81302,                0.66184,                0.41581,                 1.0904,               0.000595,               0.000595,               0.000595
                     98,                0.27379,                0.13866,                 0.8653,                 0.9403,                0.91896,                0.95298,                0.81307,                0.66061,                0.41588,                 1.0901,               0.000496,               0.000496,               0.000496
                     99,                 0.2674,                0.13601,                0.86694,                0.93759,                0.92173,                0.95247,                0.81262,                 0.6598,                0.41588,                 1.0903,               0.000397,               0.000397,               0.000397
                    100,                0.26248,                0.13317,                0.86088,                0.94044,                0.91856,                0.95195,                0.81167,                0.65851,                0.41507,                 1.0898,               0.000298,               0.000298,               0.000298
